block_group,lat,lon,HCVI_norm,c1_renter,c2_income,c3_multifamily,c4_zero_vehicle,high_vulnerability
060855093042,37.41286010082594,-122.0927252753794,0.6214684495325238,0.6009463722397477,0.24746170868225803,0.9304029304029304,0.6009463722397477,False
060855094041,37.405303633482845,-122.10634093717037,0.3726848950701542,0.2922297297297297,0.03438625417624852,0.7508250825082509,0.34966216216216217,False
060855094012,37.40706044466369,-122.11640087928572,0.41639939137716336,0.39050131926121373,0.2911062177289886,0.5223880597014925,0.39050131926121373,False
060855094013,37.40421048214704,-122.11373007067745,0.9132268971166743,1.0,0.515799236343125,0.9811738648947951,1.0,True
060855091084,37.398753607562554,-122.05320944733289,0.5765946846387837,0.39365671641791045,0.6327721612357357,0.7411971830985915,0.44029850746268656,False
060855095003,37.39269855013666,-122.08801668904664,0.6567498923861711,0.7341040462427746,0.5,0.5466507177033493,0.7341040462427746,False
060855096001,37.38727979034635,-122.08373294303509,0.7732617221718835,0.9425287356321839,0.1593265934828828,0.9018492176386913,0.9573070607553367,True
060855097003,37.382942278769,-122.07225189249434,0.422145633121027,0.2785571142284569,0.4654076452466699,0.5779467680608366,0.29458917835671344,False
060855098014,37.37696050882627,-122.09150405043869,0.12452069641888852,0.1779935275080906,0.09332559552219377,0.0,0.20550161812297735,False
060855091021,37.392061869057,-122.03734548898758,0.5706687249696424,0.47839831401475236,0.3243263765349069,0.8861959957850369,0.49631190727081137,False
060855091022,37.39127479553228,-122.04311957244703,0.7995804215558147,0.8746594005449592,0.27977610968889666,1.0,0.9073569482288828,True
060855091061,37.38214532908047,-122.04937876941416,0.8173744575953343,0.7909698996655519,0.7235757365383781,0.8244147157190636,0.7909698996655519,True
060855091072,37.37671552120325,-122.05816544424675,0.856793903180634,1.0,0.2808771206664642,1.0,1.0,True
060855091082,37.40069721840671,-122.06711257493428,0.8241272882277707,0.8741258741258742,0.4075367726819109,1.0,0.8741258741258742,True
060855091081,37.40510920419563,-122.06637829838999,0.45296265923446755,0.43734643734643736,0.25047728554692583,0.6093366093366093,0.43734643734643736,False
060855091083,37.40424350562275,-122.05985128526831,0.4905310519922339,0.4684873949579832,0.06271423612617699,0.8786764705882353,0.4684873949579832,False
060855091091,37.390636424630365,-122.05568525023482,0.4420452291426597,0.4758909853249476,0.0,0.7010869565217391,0.5157232704402516,False
060855092011,37.395433663580384,-122.07476533450472,0.6180901731224635,0.6126126126126126,0.305706816505402,0.7127659574468085,0.7357357357357357,False
060855092012,37.40116817769945,-122.07706422240388,0.7360191011688302,0.7642642642642643,0.5245802056666811,0.7652916073968705,0.7642642642642643,False
060855092013,37.39764925004424,-122.07209276669845,0.8011576210290544,0.7785817655571635,0.5106684167136721,1.0,0.7785817655571635,True
060855104001,37.39570055680969,-122.10901775137329,0.3438752945186297,0.39552238805970147,0.0,0.5257393209200438,0.39552238805970147,False
060855104002,37.39083231034853,-122.10895370523335,0.12546904725494368,0.1875,0.06973792684514257,0.0,0.22321428571428573,False
060855104003,37.38692771308671,-122.10547467792867,0.02201245980597899,0.0421455938697318,0.0,0.0,0.0421455938697318,False
060855092014,37.405729506507896,-122.07357044429307,0.5892022689258939,0.4320809248554913,0.7484759404694754,0.6435643564356436,0.4320809248554913,False
060855092021,37.40063471410583,-122.08497277755377,0.5831294059199985,0.5402597402597402,0.32295960428689197,0.819078947368421,0.5506493506493506,False
060855092022,37.40487024300041,-122.08251883085225,0.3533384380538307,0.15501519756838905,0.7238414978088255,0.29179331306990886,0.182370820668693,False
060855092023,37.41052316717752,-122.08241716360216,0.5355778108979641,0.6638888888888889,0.11149498850175732,0.6115879828326181,0.6638888888888889,False
060855092024,37.40577293520192,-122.08750915274383,0.14545580757858756,0.12980769230769232,0.19778604590619164,0.09958506224066388,0.12980769230769232,False
060855093032,37.40484323525488,-122.09049948271642,0.6578281673631857,0.6071428571428571,0.4521521239206838,0.7954070981210856,0.6642857142857143,False
060855094031,37.399825569140226,-122.09579903178968,0.810396229995108,0.8542825361512792,0.39857682127825744,0.9704830053667263,0.8798665183537263,True
060855094042,37.40201901911806,-122.10075570265246,0.5271181913963535,0.5364705882352941,0.2979671974660476,0.6475583864118897,0.5364705882352941,False
060855094043,37.39847676481199,-122.10311708210884,0.8701060906959811,0.8391891891891892,0.6534744218336443,1.0,0.8391891891891892,True
060855107003,37.412329783052826,-122.12114279534553,0.3252550809871815,0.25430597771023306,0.33559682388163314,0.4012738853503185,0.25430597771023306,False
060855095002,37.393664552405845,-122.0931173419586,0.8236153468172532,0.9102990033222591,0.3567058619343082,0.927797833935018,0.9590254706533776,True
060855095001,37.39739480724246,-122.0884745673258,0.8952213950199858,0.9292267365661862,0.7054605805527834,0.8641114982578397,0.9292267365661862,True
060855096002,37.39267710176372,-122.08231551599481,0.6743478595267761,0.605427974947808,0.6189146092766955,0.7524752475247525,0.605427974947808,False
060855097002,37.388016145400364,-122.07063490652706,0.7607976155467416,0.7754569190600522,0.5070236907189656,0.8553459119496856,0.7754569190600522,False
060855108022,37.4139006782933,-122.10872198389951,0.27745764483456864,0.34532374100719426,0.0,0.34782608695652173,0.36930455635491605,False
060855097001,37.386882414514375,-122.07686804080932,0.41073819854100363,0.5032119914346895,0.1933331887013494,0.3516483516483516,0.5246252676659529,False
060855098013,37.384166696307005,-122.09014882391998,0.16188381650789763,0.23978685612788633,0.0,0.1403197158081705,0.23978685612788633,False
060855098021,37.3816520388859,-122.08231535656518,0.6253112375120021,0.5947281713344317,0.43644509046730595,0.7059679767103348,0.657331136738056,False
060855098022,37.3763385545479,-122.08233817457372,0.16698148472253746,0.30528375733855184,0.0,0.028846153846153855,0.30528375733855184,False
060855099011,37.368967016600664,-122.08424089998661,0.06694307512496096,0.08857808857808858,0.0,0.079185520361991,0.08857808857808858,False
060855099012,37.370898376226855,-122.09256282896229,0.10931892471553367,0.14697406340057637,0.0,0.12466124661246614,0.14697406340057637,False
060855099021,37.374224206770855,-122.07170900987308,0.5687676441270939,0.47073170731707314,0.5092311363734976,0.6870144284128745,0.5109756097560976,False
060855099022,37.36867405662203,-122.07307523792784,0.049837369963224465,0.09541984732824428,0.0,0.0,0.09541984732824428,False
