site_id,lat,lon,c_j
J0,37.38171259999997,-122.0656985,50000
J1,37.40160349999999,-122.1119777,50000
J2,37.3700686,-122.08100989999998,50000
J3,37.40258780000002,-122.11111870000002,50000
J4,37.395021999999976,-122.07947130000001,50000
J5,37.39506469999998,-122.0794465,50000
J6,37.39303679999998,-122.077359,50000
J7,37.392939000000034,-122.07743080000002,50000
J8,37.393661600000016,-122.0769506,50000
J9,37.39349809999998,-122.077056,50000
J10,37.42961449999998,-122.07372460000002,50000
J11,37.404256299999965,-122.1112317,50000
J12,37.40522844444314,-122.08315588232044,50000
J13,37.40006145129772,-122.07715656416138,50000
J14,37.4196815089193,-122.07406603554928,50000
J15,37.42342658525599,-122.07377621579968,50000
J16,37.39518313660417,-122.09266436500174,50000
J17,37.39369698541074,-122.09657057733061,50000
J18,37.393988784531295,-122.09706621590678,50000
J19,37.410597055330506,-122.07065049930785,50000
J20,37.42474816912317,-122.07951627884611,50000
J21,37.39334457514768,-122.05241976596974,50000
J22,37.39953219987966,-122.0457762344808,50000
J23,37.39809502301104,-122.04911835855219,50000
J24,37.40093596824905,-122.0539120065348,50000
J25,37.40115786072887,-122.05693882637675,50000
J26,37.411540268824844,-122.0730303917026,50000
J27,37.3812478705794,-122.06228593559489,50000
J28,37.37264893050751,-122.08238110798051,50000
J29,37.429909023219224,-122.07725724032122,50000
J30,37.37275706442873,-122.0793578680227,50000
J31,37.389813627196794,-122.08620215957683,50000
J32,37.370677040111154,-122.08091478342621,50000
J33,37.423194873537994,-122.0875288470451,50000
J34,37.42284328877935,-122.0869855436182,50000
J35,37.42167745699616,-122.08783827289787,50000
J36,37.42195244844969,-122.08699990283345,50000
J37,37.42140439265751,-122.08412093499112,50000
J38,37.42002957813344,-122.08113461153616,50000
J39,37.39474557134752,-122.0793685359079,50000
J40,37.39338170692255,-122.08024935898715,50000
J41,37.39376252294548,-122.07504134114194,50000
J42,37.392938430425325,-122.07848174402775,50000
J43,37.36821953390655,-122.07857530387193,50000
J44,37.36071907808022,-122.0657352280692,50000
J45,37.3604769361859,-122.06386225915124,50000
J46,37.37322329913645,-122.08642194099922,50000
J47,37.370633147605304,-122.08802634192878,50000
J48,37.37589528075545,-122.06300496782171,50000
J49,37.37529896849619,-122.06395349357238,50000
J50,37.425337756645725,-122.07305344639097,50000
J51,37.36860408275676,-122.08670954111967,50000
