Scenario,Best* cost,x*_A cost,x*_A regret,x*_A regret %,x*_MM cost,x*_MM regret,x*_MM regret %
Baseline (10% uniform stock),2513.26,2513.26,0.0,0.0,5126.56,2613.29,104.0
Tenure-weighted need (Scenario B),5952.62,9160.79,3208.17,53.9,11604.75,5652.13,95.0
